자치구,2015,2016,2017,2018,2019,2020
종로구,8861 ,6970 ,3789 ,1438 ,10097 ,11445 
중구,2935 ,4901 ,11110 ,11931 ,12658 ,8861 
용산구,4994 ,6355 ,8461 ,8979 ,9238 ,5749 
성동구,8043 ,13170 ,18766 ,19584 ,17510 ,10872 
광진구,6533 ,5990 ,6183 ,6206 ,6099 ,3215 
동대문구,5588 ,7259 ,13704 ,15771 ,20776 ,19420 
중랑구,8448 ,7815 ,8001 ,10163 ,14696 ,8015 
성북구,6789 ,7600 ,13486 ,14427 ,16836 ,7220 
강북구,10507 ,13833 ,17368 ,18446 ,18282 ,10573 
도봉구,3467 ,4800 ,11499 ,10491 ,12602 ,7092 
노원구,5766 ,7296 ,10474 ,9695 ,10838 ,2967 
은평구,6789 ,12556 ,14350 ,14910 ,10145 ,5033 
서대문구,7227 ,9579 ,12226 ,10469 ,11164 ,6898 
마포구,1202 ,1039 ,3080 ,4677 ,10494 ,9909 
양천구,5012 ,7641 ,8224 ,9083 ,8393 ,6269 
강서구,3554 ,4235 ,8572 ,10291 ,9145 ,3144 
구로구,13580 ,13438 ,16171 ,14179 ,15233 ,6882 
금천구,18323 ,17781 ,18509 ,18343 ,17946 ,12893 
영등포구,16315 ,13152 ,11568 ,10920 ,10700 ,2547 
동작구,8350 ,15268 ,19935 ,18431 ,18766 ,14233 
관악구,18463 ,14403 ,15918 ,16706 ,15730 ,10286 
서초구,22185 ,15102 ,34498 ,51088 ,43556 ,9483 
강남구,3341 ,2448 ,6863 ,8793 ,6306 ,5191 
송파구,24221 ,13297 ,11019 ,9401 ,9309 ,13992 
강동구,12797 ,15910 ,18930 ,16740 ,14436 ,8089 
